depa_nombre,muni_nombre,codigo_habilitacion,nombre_prestador,tido_codigo,nits_nit,razon_social,clpr_codigo,clpr_nombre,ese,direccion,telefono,fax,email,gerente,nivel,caracter,habilitado,fecha_radicacion,fecha_vencimiento,fecha_cierre,dv,clase_persona,naju_codigo,naju_nombre,numero_sede_principal,fecha_corte_REPS,
Antioquia,APARTADÓ,504514066,Cardioestudio Zona Franca S.A.S,,900728526,Cardioestudio Zona Franca S.A.S,1,Instituciones - IPS,  ,Cra 100 # 43 - 770 LT C 101 Piso 3,8282745,,luz.ortiz@cardioestudio.com,Luz Stella Ortiz Franco, ,,SI,20150317,20210831,,2,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504507880,centro de diagnostico especializado e.u.,,811043405,centro de diagnostico especializado e.u.,1,Instituciones - IPS,  ,KR 99 # 96-35 OF 304 Ed  Apartacentro,8280494,8280494,centrodiagnos@hotmail.com,Marena Isabel Mercado Barguil, ,,SI,20110928,20210831,,6,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504501347,CENTRO DE SALUD DE PRIMER NIVEL-FUNDACIÒN DIOCESANA PARA LA SALUD,,811035996,CENTRO DE SALUD DE PRIMER NIVEL-FUNDACIÒN DIOCESANA PARA LA SALUD,1,Instituciones - IPS,  ,CL 103 # 95-20,8266851,8266851,fundaciondiocesanaparalasalud@gmail.com,GILBERTO LEON FRANCO SANCHEZ, ,,SI,20120330,20210831,,3,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504518392,centro de visualizacion oral cvo S.A.S,,901273880,centro de visualizacion oral cvo SA.S,1,Instituciones - IPS,  ,carrera 104 B #97 A 17 barrio nuevo apartado,3053257484,no aplica,centrocvo@gmail.com,Luisa Maria Osorno Jaramillo, ,,SI,20200212,20240211,,4,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504502157,CENTRO DIAGNOSTICO APARTADO CEDA LIMITADA,,800005324,CENTRO DIAGNOSTICO APARTADO CEDA LIMITADA,1,Instituciones - IPS,  ,CL 100 # 103 - 26,8280407,8284659,cedarxul@edatel.net.co,CARMEN LINDA BEDOYA NEIRA, ,,SI,20110726,20210831,,6,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504516209,CLAUDIA PATRICIA AGUADO QUINTERO S.A.S,,900996543,CLAUDIA PATRICIA AGUADO QUINTERO S.A.S,1,Instituciones - IPS,  ,CLL 102 Nª 98 -11 LC 201,8283619,,althaiasalud@gmail.com,CLAUDIA PATRICIA AGUADO QUINTERO, ,,SI,20170920,20210919,,6,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504506160,CLINICA CHINITA S.A.,,800123572,CLINICA CHINITA S.A.,1,Instituciones - IPS,  ,KR 98 # 102 - 11/13/15,8281200 EXTENSION 104,8281851 EXTENSIÓN 110,clinicachinita@gmail.com,JOSE MANUEL CAMARGO ORTIZ, ,,SI,20110511,20210831,,1,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504501359,CLINICA DE URABA SA,,800058856,CLINICA DE URABA SA,1,Instituciones - IPS,NO,DG 99 E # 106 C -56/58/ 84,5748297878,5748297878,administracion@clinicadeuraba.com,JUAN CANCIO RESTREPO GUTIERREZ, ,,SI,20070326,20210831,,1,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504511148,CONSULTORIO DE OPTOMETRIA VEA S.A.S,,900337687,CONSULTORIO DE OPTOMETRIA VEA S.A.S,1,Instituciones - IPS,  ,CRA 103 # 99 13,8283029,8283029,opticavea@une.net.co,NELSON  QUINTIN PINILLA PINILLA, ,,SI,20100224,20210831,,1,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504513907,CORPORACION IPS CEDISALUD,,900467430,CORPORACION IPS CEDISALUD,1,Instituciones - IPS,  ,calle 98 # 102 68,8285537 - 8285504,,calidad@cedisalud.com,Yaneth Astrid Monsalve MArtinez, ,,SI,20151214,20210831,,3,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504515486,FUNDACION AVIVAR CAD,,900986371,FUNDACION AVIVAR CENTRO DE REHABILITACION,1,Instituciones - IPS,  ,CALLE 95 Nro 100-24,8285959 - 3113103277,,secretaria@fundacionavivar.org,JHON JANER GIRALDO SOTELO, ,,SI,20170329,20210831,,3,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504513218,Fundacion Oportunidad y Vida,,900184499,Fundacion Oportunidad y Vida,1,Instituciones - IPS,  ,CL 98 # 104-103,3175133668,,oportunidadyvida@hotmail.com,WIDMAR LEE PINTO LOPEZ, ,,SI,20140224,20210831,,5,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504509933,FUNDACION PARA LA INVESTIGACION Y LA PARTICIPACION SOCIAL FUNIPAS,,811045445,FUNDACION PARA LA INVESTIGACION Y LA PARTICIPACION SOCIAL FUNIPAS,1,Instituciones - IPS,NO,CL 106 # 97- 51,5748283210,5748283210,funipas@yahoo.com,WILFER ERNESTO TANGARIFE GONZALEZ, ,,SI,20070810,20210831,,1,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504515953,G Y H OPTICAS S.A.S,,900958130,G&H OPTICAS SAS,1,Instituciones - IPS,  ,CR 102 # 98-49,8282961,,opticamundoapartado@hotmail.com,JHON LARRY GONZALEZ CLARO, ,,SI,20170725,20210831,,6,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504511076,GASTROMEDIC S.A.S.,,900320195,GASTROMEDIC S.A.S.,1,Instituciones - IPS,  ,KR 98   #106 -  78,8280848,,hermesfrancisco1964@live.com,RENATA PATRICIA RAMIREZ OSPINA, ,,SI,20091211,20210831,,5,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504518692,GLOBAL CARE IPS S.A.S,,901246529,GLOBAL CARE IPS S.A.S,1,Instituciones - IPS,  ,Carrera 105 # 94 - 63 Piso 1 Nuevo Apartado,8156971 - 3137681908,8156971,direcciongeneral@globalcareips.net,Andres Felipe Garcia David, ,,SI,20200212,20240211,,9,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504511426,INSTITUTO RADIOLÓGICO ORAL DE URABÁ S.A.S.,,900199315,INSTITUTO RADIOLÓGICO ORAL DE URABÁ S.A.S.,1,Instituciones - IPS,  ,KR 99 # 96 - 35 LC 103,8286887,,institutoradiologicooraldeuraba@hotmail.com,DIAGNE SOFIA SEÑA CANTILLO, ,,SI,20100831,20210831,,4,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504515633,INTEGRAL SALUD SEGURIDAD Y SALUD EN EL TRABAJO DE URABA S.A.S,,900989341,INTEGRAL SALUD SEGURIDAD Y SALUD EN EL TRABAJO DE URABA S.A.S,1,Instituciones - IPS,  ,CARRERA 99 NUMERO 97- 16,8282525,8284318,isaluduraba@gmail.com,CLAUDIA  MARCELA RAMIREZ REINOSA , ,,SI,20170331,20210831,,6,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504509446,INTISALUD IPS S.A.S.,,900073356,INTISALUD IPS S.A.S.,1,Instituciones - IPS,NO,CL 103 # 97 - 101 - 107,8156915,3146794399,briseida@intisalud.net,BRISEIDA  SANCHEZ CASTAÑO, ,,SI,20071117,20210831,,4,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504513854,IPS REINTEGRAS EN SALUD S.A.S,,900783786,IPS REINTEGRAS EN SALUD S.A.S,1,Instituciones - IPS,  ,CARRERA 102 No. 103-20,3015557753,,ocupacionalkarina15@hotmail.com,KARINA  JULIO PERTUZ, ,,SI,20150616,20210831,,4,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504508430,LABORATORIO CITOLÓGICO Y PATOLÓGICO URABÁ S.A.S.,,811040808,LABORATORIO CITOLÓGICO Y PATOLÓGICO URABÁ S.A.S.,1,Instituciones - IPS,  ,Calle 99 #96 -35 local 209 - 2010,8283609/3132506819,,laboratorio@labcipau.com,RÁUL ANDRÉS CÁRDENAS MENDOZA, ,,SI,20160614,20210831,,7,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504513539,MEDIALCO ZONA FRANCA S.A.S,,900577446,MEDIALCO ZONA FRANCA S.A.S,1,Instituciones - IPS,  ,KR 100 CL 43 - 770 ZONA FRANCA LOTE C 1001 PI 3,3207269476,,medialcozf@gmail.com,MARIA  DEL PILAR MOLINA VELEZ, ,,SI,20140717,20210831,,2,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504514489,MEDICINA EN ACCION  I.P.S. COLOMBIA S.A.S,,900477658,MEDICINA EN ACCION  I.P.S. COLOMBIA S.A.S,1,Instituciones - IPS,  ,CRA 118 # 100 F -53,3004661539,,MEDICINAENACCIONAPARTADOR@GMAIL.COM  ,ENITH  HERNANDEZ GONZALEZ, ,,SI,20160504,20210831,,8,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504509510,OFTALMOSERVICIOS IPS S.A.S.,,811038804,OFTALMOSERVICIOS IPS S.A.S.,1,Instituciones - IPS,  ,CL 103 # 97 - 101 - 107,8287020,8287020,gerencia@clofan.com,Víctor Hugo Ardila Cardenas, ,,SI,20110223,20210831,,1,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504511606,OMEGA ODONTOLOGOS MEDICOS ESPECIALIZADOS Y GENERALES ASOCIADOS SAS,,900358719,OMEGA ODONTOLOGOS MEDICOS ESPECIALIZADOS Y GENERALES ASOCIADOS SAS,1,Instituciones - IPS,  ,CL 98 A 105-B-70,8280531/3128211806,,omega-sas@hotmail.com,JAIRO ALBERTO OTERO AGAMEZ, ,,SI,20160613,20210831,,9,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504510977,ORGANIZACIONES DE IMAGENOLOGIA COLOMBIANA O.I.C.S.A.,,830009112,ORGANIZACIONES DE IMAGENOLOGIA COLOMBIANA OIC SA,1,Instituciones - IPS,  ,CL 103 # 97-54 LC 103,8289130,,oicradiologia@gmail.com,MARIO GIOVANNY LARA BALCAZAR, ,,SI,20090924,20210831,,9,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504510104,ORTOCLINICAS DE URABA S.A.S,,900175791,ORTOCLINICAS DE URABA S.A.S,1,Instituciones - IPS,  ,carrera 100 No. 95 - 12 piso 2,8282004,,ramijarama@hotmail.com,Ramiro Andres Jaramillo Marin, ,,SI,20151006,20210831,,3,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504513197,Promotora Clinica Zona Franca de Uraba SAS,,900390423,Promotora Clinica Zona Franca de Uraba SAS,1,Instituciones - IPS,  ,KR 100 # 43-770 LT C101,548293198,548293198,info@clinpanamericana.com,Escobar Ramírez Gustavo  Alberto, ,,SI,20140113,20210831,,9,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504502098,PROSALUD S.A.S.,,800091462,PROSALUD S.A.S.,1,Instituciones - IPS,NO,CRA 100 # 95-23,8280200/3015574795,8280200,gerencia@ipsprosalud.com/ calidad@ipsprosalud.com,LUZ MARINA CABEZA DE ALBARRACIN, ,,SI,20030410,20210831,,0,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504508091,SALUD DARIEN I.P.S. S.A.,,811045925,SALUD DARIEN I.P.S. S.A.,1,Instituciones - IPS,  ,CL 100 # 94 A - 30 / 42,8264050,8264050 EXT 103,saluddarien@edatel.net.co,JOSÉ  MANUEL CAMARGO ORTIZ, ,,SI,20110414,20210831,,3,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504510259,SONOIMAGENES S.A.S.,,900172401,SONOIMAGENES S.A.S.,1,Instituciones - IPS,NO,KR 99 #97-18,8281064,8281064,sonoimagenesltda@hotmail.com,ALBA LUZ BETANCUR ACOSTA, ,,SI,20080515,20210831,,2,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504508671,UNLAB S.A.S,,900021323,UNLAB S.A.S,1,Instituciones - IPS,NO,CL 103 # 97 80,5748285196,,secretaria@unlab.org,ANDRES FELIPE SUAREZ HENAO, ,,SI,20061117,20210831,,9,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504512253,URAMEDICOS S.A.S.,,900497151,URAMEDICOS S.A.S.,1,Instituciones - IPS,  ,KR 98 # 103-29/37,8156972,,uramedicos@gmail.com,CLAUDIA CECILIA TRUJILLO GOMEZ, ,,SI,20120313,20210831,,1,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,APARTADÓ,504512420,VISION TOTAL S.A.S ,,830504734,VISION TOTAL S.A.S ,1,Instituciones - IPS,  ,CALLE 103 #  97- 54 LOCAL 106 SALUD PLAZA  BARRIO LA CHINITA,3017674170,8281716,visiontotaleu@yahoo.es,TONY ALEXANDER NEGRETE  RAMIREZ, ,,SI,20120629,20210831,,2,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ARBOLETES,505102323,E.S.E. HOSPITAL PEDRO NEL CARDONA,,890982134,E.S.E. HOSPITAL PEDRO NEL CARDONA,1,Instituciones - IPS,SI,BARRIO EL DEPORTIVO,948200026,8200026,secretaria@esehpncarboletes-antioquia.gov.co,JENNY  GARCES LUNA,1,MUNICIPAL,SI,20030416,20210831,,0,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ARBOLETES,505112915,PROMOSALUD IPS T&E S.A.S. ,,900192459,Promosalud IPS T&E S.A.S.,1,Instituciones - IPS,  ,carrera 30 numero 31-25,3215392270,,calidad@promosaludips.com,EUSEBIO  AUGUSTO MENDOZA HERNANDEZ, ,,SI,20191105,20231104,,4,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ARBOLETES,505118244,RETINHER S.A.S,,900733517,RETINHER S.A.S,1,Instituciones - IPS,  ,CL 26 16 - 20 LAS DELICIAS,3205764107,,retinhersas@gmail.com,TANIA  MARGARITA MARTINEZ GUTIERREZ, ,,SI,20191106,20231105,,6,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ARGELIA,505505479,E.S.E. HOSPITAL SAN JULIAN,,890981851,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,1,Instituciones - IPS,SI,calle 31 #32-14,8650025 - 3146182345,0,gestiondocumentalhsj@gmail.com,JUAN DE JESUS ARROYAVE OCAMPO,1,MUNICIPAL,SI,20180717,20210831,,9,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,ARMENIA,505905506,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,,890982153,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,1,Instituciones - IPS,SI,CL 11 # 6-69,5748559352,5748559059,hsmpgerencia@gmail.com,NIDIA LUZ PARRADO PINEDA,1,MUNICIPAL,SI,20061114,20210831,,0,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BARBOSA,507909669,FUNDACIÓN LA LUZ - CENTRO NACIONAL PARA EL TRATAMIENTO DE LA DROGADICCIÓN,,811004956,FUNDACIÓN LA LUZ - CENTRO NACIONAL PARA EL TRATAMIENTO DE LA DROGADICCIÓN,1,Instituciones - IPS,NO,Intercambio Vial El Hatillo Vía Barbosa - FINCA LA QUERIDURA ,3146779629-4070009,,informacionlaluzmedellin@gmail.com,Duvian Fernando Ruiz Salamanca , ,,SI,20070117,20210831,,6,JURIDICO,1,Privada,2,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BARBOSA,507904077,ESE HOSPITAL SAN VICENTE DE PAUL,,890905193,ESE HOSPITAL SAN VICENTE DE PAUL,1,Instituciones - IPS,SI,KR 17 # 10 - 34,5744061341,5744060996,esebarbosa@une.net.co,CILA  PEREZ PACHECO,1,MUNICIPAL,SI,20061117,20210831,,7,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BARBOSA,507916048,IMÁGENES ECORAY IPS S.A.S,,901062552,IMÁGENES ECORAY IPS S.A.S,1,Instituciones - IPS,  ,Carrera 15 No 10 30,3148215315,,imagenesecoray@hotmail.com,CELENY MARIA CASTRILLÓN  GÓMEZ, ,,SI,20171130,20211129,,8,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BARBOSA,507909878,IPS CASA DE LA SALUD BARBOSA S.A.S.,,900160035,IPS CASA DE LA SALUD BARBOSA S.A.S.,1,Instituciones - IPS,  ,CL 15 # 13 - 43,4060363,,casadelasaludbarbosa@hotmail.com,ALEXANDRA   ZAPATA  ZULUAGA, ,,SI,20120803,20210831,,8,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508804262, INTEGRADOS IPS LTDA.,,811013278, INTEGRADOS IPS LTDA.,1,Instituciones - IPS,NO,CALLE 46 N° 49-146 PISO 1 Y 4 EDIFICIO COTRAFA,5200722,,dfinanciera@integradosips.com,ISABEL CRISTINA BETANCUR BETANCUR, ,,SI,20030410,20210831,,9,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508811752,B.BRAUN AVITUM S.A.S,,900231793,B.BRAUN AVITUM S.A.S,1,Instituciones - IPS,  ,Diagonal 50A #38-20 Piso No.4 Centro Empresarial Tierragro,6045313 - 3213419828,,legalavitum.co@bbraun.com - administracionbello@bbraunavitum.com,NIKOLAI  ENGEL , ,,SI,20110328,20210831,,8,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508813399,DENTIPLAN CARE INVESTMENTS,,900703821,DENTIPLAN CARE INVESTMENTS,1,Instituciones - IPS,  ,KRA 49 # 46-34,4481232,,administracion@dentiplan.com.co,NELSON  ZULUAGA CONTRERAS, ,,SI,20140506,20210831,,2,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508805042,DENTOTAL S.A.S,,811007847,DENTOTAL S.A.S,1,Instituciones - IPS,NO,AK 50 # 50 - 15 OF 317,4442105,,dentotal@une.net.co,JUAN ESTEBAN TAMAYO MORENO, ,,SI,20061117,20210831,,5,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508804909,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,1,Instituciones - IPS,SI,CL 54 N. 56 A 11,4482030,4482030,gestiondocumental@esebellosalud.gov.co,DIEGO ALFONSO MONTOYA GRAJALES,1,MUNICIPAL,SI,20030414,20210831,,1,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508805618,ESE HOSPITAL MARCO FIDEL SUAREZ,,890985703,E.S.E. HOSPITAL MARCO FIDEL SUAREZ,1,Instituciones - IPS,SI,CL 44 # 49B-90,4547510,4512241,gerencia@hmfs.gov.co,ISAURO  BARBOSA AGUIRRE,2,DEPARTAMENTAL,SI,20030415,20210831,,5,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508804734,ESE HOSPITAL MENTAL DE ANTIOQUIA,,890905166,E.S.E. HOSPITAL MENTAL DE ANTIOQUIA,1,Instituciones - IPS,SI,CALLE 38 No 55-310  BARRIO SANTA ANA,4448330,4527479,gerencia@homo.gov.co,ALBERTO  ARISTIZABAL OCAMPO,2,DEPARTAMENTAL,SI,20030411,20210831,,8,JURIDICO,4,Pública,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508810819,ESPECIALIDADES MEDICAS METROPOLITANAS S.A.S.,,900226451,ESPECIALIDADES MEDICAS METROPOLITANAS S.A.S.,1,Instituciones - IPS,NO,AV 34 # 51 - 03,4488980,4488980,contactenos@emmsa.com.co,LILIANA MARIA VILLEGAS ROMERO, ,,SI,20090618,20210831,,4,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508811315,FARMILENIO DISTRIBUIDORA S.A.S,,900276318,FARMILENIO DISTRIBUIDORA S.A.S,1,Instituciones - IPS,  ,CALLE 50 NO. 52-44,2202734-3185945372,2202734,ipsfarmilenio@hotmail.com,Teresa De Jesus giraldo correa, ,,SI,20100608,20210831,,6,JURIDICO,1,Privada,2,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508811823,Fundación Clinica del Norte,,900421895,Fundación Clinica del Norte,1,Instituciones - IPS,  ,Av 38 Dg 59 50,448 12 70,448 12 70,calidad@clinicadelnorte.org,Alejandro  Camargo Orozco, ,,SI,20110503,20210831,,6,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
Antioquia,BELLO,508818785,HIDENTAL S.A.S.,,901348121,HIDENTAL S.A.S.,1,Instituciones - IPS,  ,DIAGONAL 55 # 37 - 41 LOCAL 401 B,3492200,,gerenciahidental@gmail.com,JOHN CAMILO ZAPATA PALACIO, ,,SI,20200303,20240302,,6,JURIDICO,1,Privada,1,Fecha corte REPS: Dec  9 2020 11:48AM,
